pregunta,pregunta_limpia,respuesta,label
¿Qué tan grande es Urano comparado con la Tierra?,grande ser urano comparado tierra,"Urano es más pequeño que Júpiter y Saturno, pero más grande que Neptuno.",urano_tamaño
¿Cuál es el radio de Urano?,ser radio urano,El tamaño de Urano en comparación con la Tierra es aproximadamente 4 veces mayor en términos de diámetro.,urano_tamaño
¿Cuántas lunas tiene Urano?,cuanta luna tener urano,Urano tiene un total de 27 lunas conocidas.,urano_lunas
Háblame sobre las lunas de Urano,hablamir luna urano,"Las lunas de Urano incluyen Miranda, Ariel, Umbriel, Titania y Oberón, entre otras.",urano_lunas
¿Cuáles son las lunas de Urano?,ser luna urano,"Las lunas de Urano incluyen Miranda, Ariel, Umbriel, Titania y Oberón, entre otras. En total, hay 27 lunas conocidas en Urano.",urano_lunas
¿Hay lunas alrededor de Urano?,haber luna alrededor urano,"Urano tiene 27 lunas conocidas, siendo las más grandes Titania, Oberón, Umbriel, Ariel y Miranda.",urano_lunas
Dime sobre las lunas de Urano,dimar luna urano,"Urano tiene 27 satélites conocidos, los cuales incluyen Miranda, Ariel, Umbriel, Titania y Oberón.",urano_lunas
¿Cuál es el número de lunas en Urano?,ser numero luna urano,"Las lunas de Urano son fascinantes. Hay un total de 27 satélites conocidos, incluyendo Miranda, Ariel, Umbriel, Titania y Oberón.",urano_lunas
¿Qué puedes decirme sobre las lunas de Urano?,poder decir luna urano,"Sí, Urano tiene lunas. Hay un total de 27 satélites conocidos que orbitan el planeta.",urano_lunas
¿Existen satélites naturales en Urano?,existir satelit natural urano,"Entre las 27 lunas conocidas de Urano se encuentran Miranda, Ariel, Umbriel, Titania y Oberón.",urano_lunas
¿Cuál es el nombre de las lunas de Urano?,ser nombre luna urano,"Las lunas de Urano son muy interesantes. Las más grandes son Titania, Oberón, Umbriel, Ariel y Miranda.",urano_lunas
¿Hay alguna luna interesante en Urano?,haber alguno luna interesante urano,"Entre las lunas de Urano se encuentra Miranda, que tiene una apariencia única debido a su geología.",urano_lunas
¿Cómo es la atmósfera de Urano?,ser atmosfera urano,"La atmósfera de Urano está compuesta principalmente por hidrógeno y helio, pero también contiene cantidades significativas de metano. Tiene una temperatura media de -197 grados centrigrados y presenta fuertes vientos y nubes.",urano_atmosfera
Háblame sobre la atmósfera de Urano,hablamir atmosfera urano,"La atmósfera de Urano está compuesta principalmente por hidrógeno y helio, pero también contiene metano. Tiene una temperatura media de -197 grados centrigrados y se caracteriza por vientos muy fuertes y nubes.",urano_atmosfera
¿Qué se sabe sobre la atmósfera de Urano?,saber atmosfera urano,"La atmósfera de Urano es principalmente hidrógeno y helio, pero también contiene metano. Es muy fría, con una temperatura media de -197  grados centrigrados , y presenta fuertes vientos y nubes.",urano_atmosfera
¿Qué gases componen la atmósfera de Urano?,gas componer atmosfera urano,"La atmósfera de Urano contiene principalmente hidrógeno y helio, pero también metano. Es muy fría, con una temperatura media de -197  grados centrigrados , y se caracteriza por vientos muy fuertes y nubes.",urano_atmosfera
¿Cómo es el clima en Urano?,ser clima urano,"La atmósfera de Urano es muy fría, con una temperatura media de -197  grados centrigrados . Está compuesta principalmente por hidrógeno y helio, pero también contiene cantidades significativas de metano. Se sabe que presenta fuertes vientos y nubes.",urano_atmosfera
¿Qué características tiene la atmósfera de Urano?,caracteristica tener atmosfera urano,"La atmósfera de Urano se compone principalmente de hidrógeno y helio, junto con metano y otros gases en menor cantidad. Es muy fría, con una temperatura media de -197  grados centrigrados , y presenta fuertes vientos y nubes.",urano_atmosfera
¿Cómo se compararía la atmósfera de Urano con la de otros planetas?,comparar atmosfera urano planeta,"La atmósfera de Urano es única en comparación con la de otros planetas en el sistema solar. Está compuesta principalmente por hidrógeno y helio, pero también contiene metano. Es muy fría, con una temperatura media de -197  grados centrigrados , y presenta fuertes vientos y nubes.",urano_atmosfera
¿Se han hecho estudios sobre la atmósfera de Urano?,haber hacer estudio atmosfera urano,"Sí, se han realizado estudios sobre la atmósfera de Urano. Algunos de los hallazgos incluyen la presencia de una capa de nubes, así como vientos que pueden alcanzar velocidades de hasta 900 kilómetros por hora.",urano_atmosfera
¿Qué se ha descubierto sobre la atmósfera de Urano?,haber descubrir atmosfera urano,"Los estudios realizados sobre la atmósfera de Urano han revelado algunas características interesantes, como una capa de nubes y vientos que pueden superar los 900 kilómetros por hora.",urano_atmosfera
¿Por qué la atmósfera de Urano es tan fría?,atmosfera urano ser frio,"Se sabe que la atmósfera de Urano es muy fría debido a la gran distancia del planeta al Sol y a la composición de gases como el de hidrógeno y helio, que son gases que no retienen bien el calor",urano_atmosfera
¿De qué color es Urano?,color ser urano,Urano es conocido como el planeta azul debido al metano en su atmósfera que le da un tono azulado.,urano_color
Háblame sobre el color de Urano,hablamir color urano,El color de Urano es principalmente azul debido al metano en su atmósfera.,urano_color
¿Es Urano un planeta azul?,ser urano planeta azul,Urano es conocido como el planeta azul debido al gas metano en su atmósfera.,urano_color
¿Por qué Urano es azul?,urano ser azul,El gas metano en la atmósfera de Urano es lo que le da su tono azulado característico.,urano_color
¿Cuál es el color de la atmósfera de Urano?,ser color atmosfera urano,La atmósfera de Urano es azul debido al metano en ella.,urano_color
¿Cómo se ve Urano a simple vista?,ver urano simple vista,Urano es un planeta azul pálido que es difícil de ver a simple vista sin equipo astronómico.,urano_color
¿Es Urano el único planeta azul del sistema solar?,ser urano unico planeta azul sistema solar,Urano es el único planeta del sistema solar que se conoce comúnmente como el planeta azul.,urano_color
¿Por qué algunos lo llaman el planeta de hielo?,alguno llamar planeta hielo,"Urano es conocido como el planeta de hielo debido a su temperatura y composición, lo que hace que su atmósfera y superficie sean predominantemente azul y blanca.",urano_color
¿Qué elementos químicos dan color a la atmósfera de Urano?,elemento quimico dar color atmosfera urano,"El color de la atmósfera de Urano se debe a la presencia de metano, hidrógeno y helio.",urano_color
¿Cómo influye la composición de la atmósfera de Urano en su color?,influir composición atmosfera urano color,"La composición de la atmósfera de Urano, particularmente la presencia de metano, es lo que le da su color distintivo.",urano_color
¿Cuánto tarda Urano en rotar sobre su propio eje?,cuanto tardar urano rotar propio eje,Urano tarda alrededor de 17 horas en rotar completamente sobre su propio eje.,urano_rotacion
¿Cuántas horas dura un día en Urano?,cuanta hora durar dia urano,El día en Urano dura alrededor de 17 horas y 14 minutos terrestres.,urano_rotacion
¿Cuánto tiempo tarda Urano en dar una vuelta completa alrededor de su eje?,cuanto tiempo tardar urano dar vuelta completo alrededor eje,Urano tarda alrededor de 17 horas en dar una vuelta completa alrededor de su eje.,urano_rotacion
¿Urano tiene una rotación rápida o lenta?,urano tener rotación rapida lento,Urano tiene una rotación bastante lenta en comparación con otros planetas del Sistema Solar.,urano_rotacion
¿Cuál es la velocidad de rotación de Urano?,ser velocidad rotación urano,"La velocidad de rotación de Urano es de aproximadamente 2,6 kilómetros por segundo.",urano_rotacion
¿Urano rota en sentido horario o antihorario?,urano rotar horario antihorario,"Urano tiene una rotación en sentido retrogrado, es decir, en dirección opuesta a la mayoría de los otros planetas del Sistema Solar.",urano_rotacion
¿La rotación de Urano es constante?,rotación urano ser constante,La rotación de Urano no es constante y varía a medida que el planeta orbita alrededor del Sol.,urano_rotacion
¿Urano tiene una inclinación axial única en su rotación?,urano tener inclinación axial unico rotación,"Urano tiene una inclinación axial única en su rotación, con un ángulo de inclinación de aproximadamente 98 grados.",urano_rotacion
¿Cuál es el ángulo de inclinación axial de Urano?,ser angulo inclinación axial urano,"El ángulo de inclinación axial de Urano es de aproximadamente 98 grados, lo que significa que su eje de rotación está prácticamente en el plano de su órbita alrededor del Sol.",urano_rotacion
¿Cuánto influye la inclinación axial de Urano en su rotación?,cuanto influir inclinación axial urano rotación,"La inclinación axial de Urano influye significativamente en su rotación, lo que puede provocar cambios estacionales extremos en su atmósfera y clima.",urano_rotacion
¿Cuánto tiempo tarda Urano en dar una vuelta al Sol?,cuanto tiempo tardar urano dar vuelta sol,Urano tarda aproximadamente 84 años terrestres en dar una vuelta completa alrededor del Sol.,urano_orbita
¿Cuánto dura un año en Urano?,cuanto durar año urano,"El período orbital de Urano, es decir, la duración de un año uraniano, es de aproximadamente 84 años terrestres.",urano_orbita
¿Cuál es el período orbital de Urano?,ser periodo orbital urano,La órbita de Urano dura alrededor de 84 años terrestres.,urano_orbita
¿En cuánto tiempo Urano da una vuelta alrededor del Sol?,cuanto tiempo urano dar vuelta alrededor sol,Urano tarda unos 84 años terrestres en completar una vuelta alrededor del Sol.,urano_orbita
¿Cuántos años dura una órbita completa de Urano?,cuanto año durar orbita completo urano,Un año en Urano dura aproximadamente 84 años terrestres.,urano_orbita
¿Cuánto tarda Urano en dar la vuelta al Sol?,cuanto tardar urano dar vuelta sol,Urano orbita alrededor del Sol en un período de aproximadamente 84 años terrestres.,urano_orbita
¿Cuál es la duración de la órbita de Urano?,ser duración orbita urano,El tiempo que tarda Urano en orbitar el Sol es de aproximadamente 84 años terrestres.,urano_orbita
¿Cuánto tarda Urano en completar una vuelta alrededor del Sol?,cuanto tardar urano completar vuelta alrededor sol,"Urano tarda aproximadamente 30,687 días terrestres en dar una vuelta completa alrededor del Sol.",urano_orbita
¿Cuántos días dura un año en Urano?,cuanto dia durar año urano,"El período orbital de Urano, es decir, la duración de un año uraniano, es de aproximadamente 30,687 días terrestres.",urano_orbita
¿Cuánto tiempo tarda Urano en orbitar el Sol?,cuanto tiempo tardar urano orbitar sol,"La órbita de Urano dura alrededor de 30,687 días terrestres.",urano_orbita
¿Cómo es la superficie de Urano?,ser superficie urano,La superficie de Urano está compuesta principalmente por hielo y roca.,urano_superficie
¿Hay montañas en Urano?,haber montaña urano,"Aunque no se han observado montañas prominentes en Urano, se cree que hay algunas elevaciones en la superficie del planeta.",urano_superficie
¿Cuál es la temperatura en la superficie de Urano?,ser temperatura superficie urano,"La temperatura en la superficie de Urano es extremadamente fría, llegando a -197 grados centrigrados en promedio.",urano_superficie
¿Existen volcanes en Urano?,existir volcán urano,"No se han encontrado volcanes activos en Urano, aunque se han detectado signos de actividad volcánica en el pasado.",urano_superficie
¿Qué se sabe sobre la geología de Urano?,saber geología urano,"Debido a la distancia del planeta y la falta de misiones de exploración, se sabe muy poco sobre la geología de Urano.",urano_superficie
¿Hay agua en la superficie de Urano?,haber agua superficie urano,"No se ha detectado agua líquida en la superficie de Urano, aunque se cree que puede haber agua helada en algunas regiones.",urano_superficie
¿Cuál es la composición de la superficie de Urano?,ser composición superficie urano,"Se sabe que la superficie de Urano está compuesta principalmente por hielo y roca, con una pequeña cantidad de metano y otros gases.",urano_superficie
¿Se han realizado misiones para estudiar la superficie de Urano?,haber realizar misión estudiar superficie urano,"Hasta la fecha, solo se ha realizado una misión para estudiar Urano, la sonda Voyager 2 en 1986.",urano_superficie
